"method","item","dimension","loading"
"FA","C1","Factor1",0.00126385837717187
"FA","C2","Factor1",0.0764062043033277
"FA","C3","Factor1",-0.0300912479574972
"FA","C4","Factor1",-0.218117928619131
"FA","C5","Factor1",-0.271885698052588
"FA","E1","Factor1",-0.0346032084432549
"FA","E2","Factor1",-0.233133658666011
"FA","E3","Factor1",0.0162920888981579
"FA","E4","Factor1",-0.121225345377199
"FA","E5","Factor1",0.0502715032798717
"FA","N1","Factor1",0.816037045886861
"FA","N2","Factor1",0.787140581739417
"FA","N3","Factor1",0.713552263101238
"FA","N4","Factor1",0.562340403744454
"FA","N5","Factor1",0.517724270821517
"FA","O1","Factor1",-0.00839395767082068
"FA","O2","Factor1",-0.163390372365994
"FA","O3","Factor1",0.0200188162399549
"FA","O4","Factor1",0.206706098713911
"FA","O5","Factor1",-0.0752731803045705
"FA","A1","Factor2",-0.045138861379811
"FA","A2","Factor2",0.190941912680676
"FA","A3","Factor2",0.280003466568754
"FA","A4","Factor2",0.181426750120247
"FA","A5","Factor2",0.351014200290303
"FA","C1","Factor2",0.0510707988712692
"FA","C2","Factor2",0.00689538115256856
"FA","C3","Factor2",0.013271264476939
"FA","C4","Factor2",0.083093906312771
"FA","C5","Factor2",0.189734214066149
"FA","E1","Factor2",0.587271077609616
"FA","E2","Factor2",0.673956676924803
"FA","E3","Factor2",0.489937908469237
"FA","E4","Factor2",0.61337961904899
"FA","E5","Factor2",0.490651247166827
"FA","N1","Factor2",0.0929668113410233
"FA","N2","Factor2",0.0441672989295085
"FA","N3","Factor2",-0.0808782287574226
"FA","N4","Factor2",-0.367072489702909
"FA","N5","Factor2",-0.187454748535318
"FA","O1","Factor2",0.182069285939826
"FA","O2","Factor2",0.00374048287338658
"FA","O3","Factor2",0.276008617853297
"FA","O4","Factor2",-0.219788270496668
"FA","O5","Factor2",0.00804537850671506
"FA","A1","Factor3",-0.00484256203902089
"FA","A2","Factor3",0.144240945163751
"FA","A3","Factor3",0.109542085005365
"FA","A4","Factor3",0.233662151752363
"FA","A5","Factor3",0.0775831305581344
"FA","C1","Factor3",0.533455613612196
"FA","C2","Factor3",0.624362011431038
"FA","C3","Factor3",0.553892075925042
"FA","C4","Factor3",0.653227909049279
"FA","C5","Factor3",0.573371140298055
"FA","E1","Factor3",-0.0300829451669612
"FA","E2","Factor3",0.106053035861083
"FA","E3","Factor3",0.0677947321984857
"FA","E4","Factor3",0.0883609566478227
"FA","E5","Factor3",0.309512892574489
"FA","N1","Factor3",-0.0445457287716138
"FA","N2","Factor3",-0.0240153732558106
"FA","N3","Factor3",-0.0794654843459891
"FA","N4","Factor3",-0.191929003197756
"FA","N5","Factor3",-0.0516041218976996
"FA","O1","Factor3",0.102961601862141
"FA","O2","Factor3",0.11326329068444
"FA","O3","Factor3",0.0651689679489708
"FA","O4","Factor3",-0.0308122178482126
"FA","O5","Factor3",0.0782046427354691
"FA","A1","Factor4",0.392897360226922
"FA","A2","Factor4",0.601307056222211
"FA","A3","Factor4",0.662309427579446
"FA","A4","Factor4",0.453899912236492
"FA","A5","Factor4",0.580284770392622
"FA","C1","Factor4",0.0638554401728367
"FA","C2","Factor4",0.126886103024494
"FA","C3","Factor4",0.121929767096623
"FA","C4","Factor4",0.0220017181569252
"FA","C5","Factor4",0.0521741932798687
"FA","E1","Factor4",0.119894449711866
"FA","E2","Factor4",0.151116211297375
"FA","E3","Factor4",0.314990946771305
"FA","E4","Factor4",0.362853286356298
"FA","E5","Factor4",0.119867835652345
"FA","N1","Factor4",-0.214186562556707
"FA","N2","Factor4",-0.20164837635039
"FA","N3","Factor4",-0.0156255597226374
"FA","N4","Factor4",-0.00136791932239315
"FA","N5","Factor4",0.105557944010896
"FA","O1","Factor4",0.0857685929893016
"FA","O2","Factor4",-0.101542463226734
"FA","O3","Factor4",0.153086273565047
"FA","O4","Factor4",0.143950882018368
"FA","O5","Factor4",-0.0143107289564205
"FA","A1","Factor5",0.0566440809226219
"FA","A2","Factor5",0.0597886462153377
"FA","A3","Factor5",0.0647187570292136
"FA","A4","Factor5",-0.109370844934439
"FA","A5","Factor5",0.0827377777011785
"FA","C1","Factor5",0.221043533124897
"FA","C2","Factor5",0.139870499797953
"FA","C3","Factor5",0.00301542312851838
"FA","C4","Factor5",0.0916690466029233
"FA","C5","Factor5",-0.0367975829967163
"FA","E1","Factor5",0.0675730529879889
"FA","E2","Factor5",0.0576820221765425
"FA","E3","Factor5",0.313255233716071
"FA","E4","Factor5",-0.0399053113582299
"FA","E5","Factor5",0.233541194269752
"FA","N1","Factor5",-0.0836387160972321
"FA","N2","Factor5",-0.0171804739458136
"FA","N3","Factor5",0.00119006495917848
"FA","N4","Factor5",0.0734963895042193
"FA","N5","Factor5",-0.136550046288567
"FA","O1","Factor5",0.523621895589793
"FA","O2","Factor5",0.4539105422079
"FA","O3","Factor5",0.61427404872986
"FA","O4","Factor5",0.368370740751878
"FA","O5","Factor5",0.511863467045363
