No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
25123,2016,1,11,18,11,30,2,31,800,54,-3.4,1030.4,-22.7,0,NW,2.9,Aotizhongxin
25124,2016,1,11,19,15,34,4,45,900,43,-3.9,1031,-22.6,0,NW,3.5,Aotizhongxin
25125,2016,1,11,20,15,30,2,34,800,51,-4.7,1031.2,-23.2,0,NW,3.4,Aotizhongxin
25126,2016,1,11,21,12,41,2,37,800,45,-5.2,1032,-23.2,0,NW,2.8,Aotizhongxin
25127,2016,1,11,22,17,40,4,42,800,39,-5.7,1032.3,-23.6,0,NNW,3.5,Aotizhongxin
25128,2016,1,11,23,16,31,4,37,700,42,-6.4,1032.4,-23.7,0,NNW,2.8,Aotizhongxin
25129,2016,1,12,0,14,28,2,29,700,49,-7.3,1032.3,-23.2,0,N,2.1,Aotizhongxin
25130,2016,1,12,1,14,25,2,28,700,48,-6.9,1032.3,-22,0,NNW,3.3,Aotizhongxin
25131,2016,1,12,2,14,30,12,29,700,46,-7.3,1032.3,-22,0,N,3,Aotizhongxin
25132,2016,1,12,3,14,22,11,26,500,49,-7.7,1032,-21.9,0,N,2.4,Aotizhongxin
25133,2016,1,12,4,12,22,9,24,500,NA,-7.6,1031.5,-22.6,0,N,3.1,Aotizhongxin
25134,2016,1,12,5,11,16,9,25,500,47,-9.7,1031.5,-23,0,ENE,1.8,Aotizhongxin
25135,2016,1,12,6,10,15,10,24,600,49,-11,1031.1,-22.9,0,E,1.8,Aotizhongxin
25136,2016,1,12,7,12,18,11,31,600,44,-11.3,1031,-22.8,0,ESE,1.2,Aotizhongxin
25137,2016,1,12,8,12,18,11,38,600,39,-11.1,1030.9,-23,0,ENE,2.3,Aotizhongxin
25138,2016,1,12,9,13,27,10,31,600,44,-8.7,1031.1,-22.8,0,NE,2,Aotizhongxin
25139,2016,1,12,10,14,25,9,22,600,52,-7.2,1030.7,-22.7,0,NE,2.6,Aotizhongxin
25140,2016,1,12,11,15,31,8,20,600,56,-4.8,1029.9,-23.3,0,NE,3.6,Aotizhongxin
25141,2016,1,12,12,8,27,6,14,500,63,-3.7,1028.6,-23.5,0,N,3.9,Aotizhongxin
25142,2016,1,12,13,11,22,5,14,600,64,-1.9,1026.9,-23.1,0,NW,2.9,Aotizhongxin
25143,2016,1,12,14,14,24,5,16,600,63,-1.6,1025.8,-23.5,0,NW,4,Aotizhongxin
25144,2016,1,12,15,9,26,5,16,600,64,-1.5,1025.4,-24.1,0,NW,4.7,Aotizhongxin
25145,2016,1,12,16,9,30,5,17,400,64,-1.6,1024.8,-24.2,0,NW,3.5,Aotizhongxin
25146,2016,1,12,17,9,30,6,22,500,60,-2.5,1024.9,-24.3,0,NW,4.1,Aotizhongxin
25147,2016,1,12,18,10,27,7,31,700,53,-2.8,1024.9,-23.9,0,NW,3.2,Aotizhongxin
25148,2016,1,12,19,18,35,13,53,1200,35,-3.3,1024.9,-23.1,0,WNW,2.5,Aotizhongxin
25149,2016,1,12,20,15,36,11,55,1000,30,-3.8,1024.7,-22,0,NW,1.9,Aotizhongxin
25150,2016,1,12,21,18,38,13,59,1000,25,-4.2,1024.7,-21.8,0,NE,1.6,Aotizhongxin
25151,2016,1,12,22,17,35,16,54,900,29,-4.8,1024.4,-21.9,0,NNE,2.2,Aotizhongxin
25152,2016,1,12,23,15,29,15,44,700,36,-4.7,1024.2,-22.2,0,N,2.1,Aotizhongxin
25153,2016,1,13,0,17,33,14,42,700,37,-6.5,1023.9,-21.6,0,ENE,1.2,Aotizhongxin
25154,2016,1,13,1,13,24,12,39,700,40,-4.4,1023.4,-23,0,NNW,2.7,Aotizhongxin
25155,2016,1,13,2,12,22,8,34,600,44,-5,1023,-22.5,0,NNE,2.2,Aotizhongxin
25156,2016,1,13,3,8,15,8,29,500,48,-4.3,1022.5,-24,0,NNW,2,Aotizhongxin
25157,2016,1,13,4,11,14,8,33,500,45,-4.3,1022,-24,0,WNW,1.1,Aotizhongxin
25158,2016,1,13,5,9,13,9,32,600,45,-5.4,1021.6,-24.3,0,ENE,1.5,Aotizhongxin
25159,2016,1,13,6,8,14,9,28,600,51,-5.9,1021.3,-24.3,0,NE,1.5,Aotizhongxin
25160,2016,1,13,7,12,23,13,47,600,37,-5.8,1021.1,-24.2,0,NE,1.5,Aotizhongxin
25161,2016,1,13,8,14,32,16,73,900,15,-6.3,1021.4,-23.6,0,NE,1.4,Aotizhongxin
25162,2016,1,13,9,16,60,17,79,1100,12,-4.7,1022.1,-24.9,0,N,1,Aotizhongxin
25163,2016,1,13,10,19,47,16,67,1100,23,-3.9,1022.1,-24.8,0,NE,1.4,Aotizhongxin
25164,2016,1,13,11,20,49,17,39,900,47,-2.6,1021.3,-23.7,0,E,1.8,Aotizhongxin
25165,2016,1,13,12,17,32,13,27,800,58,-1.8,1020.3,-23.1,0,ESE,1.1,Aotizhongxin
25166,2016,1,13,13,12,25,11,21,600,67,0.9,1018.9,-26.4,0,NW,4.7,Aotizhongxin
25167,2016,1,13,14,11,58,11,17,500,70,1.1,1017.8,-26.2,0,NW,6.7,Aotizhongxin
25168,2016,1,13,15,14,68,13,21,500,68,1.8,1017.7,-25.6,0,NW,3.5,Aotizhongxin
25169,2016,1,13,16,13,58,13,23,500,66,2.1,1017.5,-25.4,0,NW,2.4,Aotizhongxin
25170,2016,1,13,17,17,50,17,41,700,50,1.3,1017.6,-24.2,0,WNW,3.8,Aotizhongxin
25171,2016,1,13,18,38,74,20,104,1300,8,0.9,1018,-22.9,0,W,2.6,Aotizhongxin
25172,2016,1,13,19,42,83,20,107,1600,5,0.7,1018.1,-22.3,0,WNW,2.5,Aotizhongxin
25173,2016,1,13,20,45,79,24,101,1600,8,-2.1,1018.6,-21.6,0,NE,1.4,Aotizhongxin
25174,2016,1,13,21,39,71,23,93,1300,8,-3,1018.8,-21.3,0,NE,1.1,Aotizhongxin
25175,2016,1,13,22,34,62,19,95,1300,6,-4.7,1019,-18.6,0,SSW,0.9,Aotizhongxin
25176,2016,1,13,23,29,52,17,91,1200,5,-5.7,1018.9,-18.8,0,E,0.3,Aotizhongxin
25177,2016,1,14,0,33,54,16,91,1400,5,-6.9,1018.6,-18.9,0,S,0.6,Aotizhongxin
25178,2016,1,14,1,36,62,15,91,1600,5,-6.3,1018.5,-17.1,0,SSW,0.7,Aotizhongxin
25179,2016,1,14,2,30,52,16,91,1600,5,-5.4,1018.6,-17.5,0,NNW,0.7,Aotizhongxin
25180,2016,1,14,3,20,34,11,44,700,38,-5,1018.3,-17.5,0,WNW,0.9,Aotizhongxin
25181,2016,1,14,4,22,40,13,67,1100,NA,-5.6,1017.8,-17.4,0,E,0.7,Aotizhongxin
25182,2016,1,14,5,14,32,10,33,700,51,-5.2,1017.5,-18.6,0,NW,1.9,Aotizhongxin
25183,2016,1,14,6,14,35,11,39,800,47,-6.4,1017.5,-17.8,0,E,0.9,Aotizhongxin
25184,2016,1,14,7,13,33,12,45,700,43,-7.6,1017.7,-18,0,ENE,0.9,Aotizhongxin
25185,2016,1,14,8,24,69,17,81,1600,16,-7.9,1017.9,-17.3,0,ENE,1.3,Aotizhongxin
25186,2016,1,14,9,66,122,32,103,3200,9,-5,1018,-15.1,0,E,0.7,Aotizhongxin
25187,2016,1,14,10,69,120,35,102,3200,11,-1.6,1018,-15.8,0,E,1.1,Aotizhongxin
25188,2016,1,14,11,82,101,29,95,2000,25,1,1017.5,-16,0,ENE,0.8,Aotizhongxin
25189,2016,1,14,12,91,103,28,89,2000,37,3,1016.1,-21.2,0,WNW,2.5,Aotizhongxin
25190,2016,1,14,13,96,112,27,73,1700,50,3.1,1015.1,-21.9,0,WSW,2.6,Aotizhongxin
25191,2016,1,14,14,99,108,30,68,1600,54,3.4,1014.4,-21.7,0,NW,1.2,Aotizhongxin
25192,2016,1,14,15,75,85,25,58,1200,58,4.7,1014.3,-21.5,0,S,0.8,Aotizhongxin
25193,2016,1,14,16,46,60,19,51,1000,58,4.5,1014.4,-20,0,N,1,Aotizhongxin
25194,2016,1,14,17,42,60,19,62,1000,45,2.7,1014.5,-20,0,WSW,1.1,Aotizhongxin
25195,2016,1,14,18,82,143,31,122,2100,10,-0.7,1014.9,-18.3,0,S,0.5,Aotizhongxin
25196,2016,1,14,19,97,145,32,130,2200,8,-0.6,1015.1,-18.7,0,W,1.7,Aotizhongxin
25197,2016,1,14,20,90,126,34,122,2100,8,-1.2,1015.1,-17.9,0,W,1.9,Aotizhongxin
25198,2016,1,14,21,94,122,49,120,2200,8,-1.1,1015,-17.8,0,W,1.9,Aotizhongxin
25199,2016,1,14,22,99,137,44,121,2700,8,-0.4,1014.9,-18.6,0,W,2,Aotizhongxin
25200,2016,1,14,23,119,146,48,126,3100,8,-3.9,1015.1,-16.5,0,E,1.2,Aotizhongxin
